trace_id,started_at,total_latency_ms,num_stages,slowest_stage,slowest_stage_latency_ms,has_error,error_stage,heuristic_faithfulness_overlap,heuristic_relevance_keyword,llm_judge_faithfulness,llm_judge_relevance,avg_quality_score
bf4eef86-f7d2-491c-9bd0-4ae025f1e124,2026-07-11 17:37:09.856248,101.326,8,chromadb_retrieval,98.212,False,,,,,,
d6f27076-5c58-4f92-ba8e-acfe585ef6ce,2026-07-11 17:38:25.114202,2514.096,8,generation_gemini,2417.228,False,,,,,,
c60baa6f-8fd9-4c47-90ea-5d5c3a1a97f1,2026-07-11 17:38:27.764656,1192.757,8,generation_gemini,1187.965,False,,,,,,
cf060919-2cff-4e6c-a1b6-a98a5f43341a,2026-07-11 17:38:28.956524,0.017,1,query_validation,0.017,True,query_validation,,,,,
c4df4a05-1509-46a3-a876-7305aae527c6,2026-07-11 17:41:27.329135,5253.652,8,generation_gemini,5034.602,False,,,,,,
60fe7fe8-be15-47da-b3e2-55ba6564ae11,2026-07-11 17:41:40.022022,1129.454,8,generation_gemini,1123.811,False,,,,,,
22b4efc6-9d7d-4b40-bece-ba368fe26540,2026-07-11 18:29:00.406365,1563.907,8,generation_gemini,1419.354,False,,,,,,
1e6675d6-e0b5-4efb-a9da-11ba6cecf24a,2026-07-11 18:31:47.855225,1153.123,8,generation_gemini,1036.308,False,,,,,,
ca19c571-a557-49ea-b77c-fecb50e9e302,2026-07-11 18:31:59.040584,1120.705,8,generation_gemini,1116.608,False,,,,,,
921d8af2-1961-4cc7-a41e-d645a3c167ac,2026-07-11 18:32:11.941841,1913.604,8,generation_gemini,1908.996,False,,,,,,
b0ce40b7-cb50-44a3-96bf-999c023449a4,2026-07-11 19:19:42.626101,1401.077,8,generation_gemini,1323.505,False,,,,,,
1e46b743-838e-4bdc-baf6-700030d77786,2026-07-11 19:19:50.914253,1240.531,8,generation_gemini,1235.784,False,,,,,,
8695fb3f-e7d5-436a-9e62-38e1b673b645,2026-07-12 11:45:33.408070,2174.107,8,generation_gemini,1960.047,False,,,,,,
1f619a1b-7beb-45b6-8ead-a4c9a58ace4d,2026-07-12 11:46:07.117581,2047.173,8,generation_gemini,2034.104,False,,,,,,
untraced,2026-07-12 12:04:35.229725,144.12,10,chromadb_retrieval,103.892,False,,,,,,
407b5d93-0797-47a5-800b-8b13440a699f,2026-07-12 12:04:35.394161,1199.884,8,generation_gemini,1189.292,False,,0.723,0.75,,,0.7364999999999999
3f37def8-b34d-4cff-aee8-729ac5a6cef8,2026-07-12 12:17:12.613946,1499.762,8,generation_gemini,1410.169,False,,,,,,
4f6df5bb-0996-4123-b436-d6573c46ea6b,2026-07-12 12:17:14.276740,1054.944,8,generation_gemini,1048.702,False,,,,,,
83346322-f78d-4f12-a0e7-66a2f34dd55d,2026-07-12 12:17:15.337223,986.593,8,generation_gemini,980.783,False,,,,,,
16424c8c-e308-4221-a7a6-44ba082f1ce3,2026-07-12 12:17:16.325442,816.8,8,generation_gemini,811.179,False,,,,,,
7217821d-263b-4a9b-9314-e7937fc81d43,2026-07-12 12:17:17.144222,987.982,8,generation_gemini,950.2,False,,,,,,
9c88e4b8-4783-4987-962c-6e42924a127d,2026-07-12 12:17:18.132209,1481.8,8,generation_gemini,1476.454,False,,,,,,
b2480afd-a858-4afa-8dc7-f3add0b34044,2026-07-12 12:17:19.617326,1187.279,8,generation_gemini,1180.596,False,,,,,,
1da3eee3-86ba-449e-96f6-b42b55681855,2026-07-12 12:17:20.806382,887.558,8,generation_gemini,883.872,False,,,,,,
5692de3c-0032-4188-a339-7c9439e12109,2026-07-12 12:17:21.689463,995.677,8,generation_gemini,989.572,False,,,,,,
0d4d5898-9914-4de0-a256-4d7770446408,2026-07-12 12:17:22.687036,1004.025,8,generation_gemini,996.064,False,,,,,,
e7c1afb1-4180-4603-9e4b-a66ea40bd661,2026-07-12 12:17:23.698229,920.33,8,generation_gemini,913.786,False,,,,,,
4fd954e1-a31b-43d9-bf54-20f16b7be2a4,2026-07-12 12:17:24.619341,1126.482,8,generation_gemini,1116.971,False,,,,,,
e3f37e01-f05a-4fa8-9e6d-b101b73f1d3b,2026-07-12 12:17:25.747470,927.69,8,generation_gemini,921.064,False,,,,,,
9e354698-aa2c-4300-b842-3c4a7aa0f77d,2026-07-12 12:17:26.675428,768.189,8,generation_gemini,761.166,False,,,,,,
13f967eb-6a5a-4c5e-b7d4-5d00e04b9a61,2026-07-12 12:17:27.447131,919.959,8,generation_gemini,916.892,False,,,,,,
100f548e-766b-43ec-94ca-495a126bb2f8,2026-07-12 12:17:28.363531,761.19,8,generation_gemini,755.912,False,,,,,,
3398ed80-5250-4394-b91b-5dca94bac2da,2026-07-12 12:17:29.130129,1201.459,8,generation_gemini,1193.53,False,,,,,,
f0d8432e-9f84-4496-8353-286800489d51,2026-07-12 12:17:30.330993,1001.397,8,generation_gemini,994.811,False,,,,,,
c4e785ca-12ef-42ea-89d9-b89e4e73879a,2026-07-12 12:17:31.335503,1250.549,8,generation_gemini,1245.032,False,,,,,,
b70092cf-2335-480c-b8ef-a3a64c2979df,2026-07-12 12:17:32.587644,693.157,8,generation_gemini,685.595,False,,,,,,
c720bde1-e0db-4c64-aafc-6501f996c88c,2026-07-12 12:17:33.274283,1273.763,8,generation_gemini,1263.678,False,,,,,,
4102f14f-5310-4cbb-9dbf-5834d9a25c3b,2026-07-12 12:17:34.556413,930.788,8,generation_gemini,924.423,False,,,,,,
c366ae62-9ef0-42d3-8a99-8496b67492cd,2026-07-12 12:17:35.486238,704.931,8,generation_gemini,699.544,False,,,,,,
bc88e0c3-7dfe-4493-b58a-d4959737a8dc,2026-07-12 12:17:36.194446,732.559,8,generation_gemini,726.47,False,,,,,,
29075cd4-70fe-48cc-8335-a7a6052e5ba6,2026-07-12 12:17:36.929420,879.902,8,generation_gemini,873.624,False,,,,,,
8c709e72-dc96-4385-a775-b91ffaa1226c,2026-07-12 12:17:37.807078,845.508,8,generation_gemini,839.078,False,,,,,,
4764b449-0631-422c-9b36-163af76d0045,2026-07-12 12:17:38.656933,1123.379,8,generation_gemini,1117.456,False,,,,,,
f552b5e5-630d-4b34-94a5-e0bf7d7d2a0c,2026-07-12 12:17:39.780470,708.45,8,generation_gemini,702.778,False,,,,,,
6ac6d1e5-8fd2-4af2-9abc-c02247aeda24,2026-07-12 12:17:40.492337,673.786,8,generation_gemini,667.325,False,,,,,,
77f564bd-3eb4-4de7-8a10-edce60bd8f1a,2026-07-12 12:17:41.157506,969.076,8,generation_gemini,963.261,False,,,,,,
f4b12bc1-2abf-40f7-a1d7-6a546f05735e,2026-07-12 12:17:42.133766,526.829,7,generation_gemini,520.986,True,generation_gemini,,,,,
387b2c24-0772-4459-bcf6-cde5808dabe5,2026-07-12 12:20:43.243250,4039.09,8,generation_gemini,3919.828,False,,,,,,
0a674392-26e8-49b2-802c-735a2736ae24,2026-07-12 12:20:48.946397,1503.425,8,generation_gemini,1495.345,False,,,,,,
e69e45ab-f912-432e-9a1c-c705af009bc1,2026-07-12 12:20:51.951742,857.813,8,generation_gemini,851.024,False,,,,,,
9e1013a0-cc67-4509-959c-800bea0800b2,2026-07-12 12:20:54.311436,851.433,8,generation_gemini,844.682,False,,,,,,
3d79d9bf-6f5e-45eb-8560-55492f63ba5e,2026-07-12 12:20:56.664859,906.803,8,generation_gemini,899.87,False,,,,,,
9a871550-e05c-49d2-81be-fd733e2d39bc,2026-07-12 12:20:59.073548,1721.941,8,generation_gemini,1716.549,False,,,,,,
1fd69a0c-0931-4d39-a1de-44d866ab9777,2026-07-12 12:21:02.298198,913.762,8,generation_gemini,907.711,False,,,,,,
63c73baf-88db-4d19-9c05-fff1242cf2b0,2026-07-12 12:21:04.713913,1001.135,8,generation_gemini,996.468,False,,,,,,
7ee15a89-bd42-4847-8a77-0e0dba4f3b70,2026-07-12 12:21:07.216750,1163.719,8,generation_gemini,1157.962,False,,,,,,
7df5b7be-04fc-4f05-822b-55fd20503152,2026-07-12 12:21:09.882811,840.26,8,generation_gemini,834.439,False,,,,,,
34fc027f-b343-4b37-9671-2c728bd8990c,2026-07-12 12:21:12.225860,1049.428,8,generation_gemini,1046.759,False,,,,,,
023e432e-2e84-4a2a-ab1f-317f9b6e9223,2026-07-12 12:21:14.776619,1050.156,8,generation_gemini,1041.808,False,,,,,,
e0839281-a64e-471b-b94b-e448159dcf73,2026-07-12 12:21:17.328963,768.956,8,generation_gemini,760.992,False,,,,,,
a9eb0b52-b5d2-4cdd-8957-a3e65783f320,2026-07-12 12:21:19.599944,957.796,8,generation_gemini,954.896,False,,,,,,
556143a9-a12f-43c6-b654-c574c75973b8,2026-07-12 12:21:22.059211,857.864,8,generation_gemini,851.212,False,,,,,,
4d3dcdb0-704d-44ae-85f8-e820520b1f9b,2026-07-12 12:21:24.419068,746.632,8,generation_gemini,739.423,False,,,,,,
4d2831c2-be57-4a9a-9ce8-226eb5a7789d,2026-07-12 12:21:26.667569,985.535,8,generation_gemini,980.515,False,,,,,,
bc1edf69-6eec-41cd-9bcf-0bcb8b76a418,2026-07-12 12:21:29.154894,923.506,8,generation_gemini,915.871,False,,,,,,
f3a798cd-66d6-4888-be01-4690f5e58a48,2026-07-12 12:21:31.580613,932.191,8,generation_gemini,926.514,False,,,,,,
290d31d0-3e1c-413c-8397-37ded82e0d37,2026-07-12 12:21:34.014777,3131.204,8,generation_gemini,3125.204,False,,,,,,
2ae7789f-12d5-47d0-b748-3adc18cca251,2026-07-12 12:21:38.648637,930.968,8,generation_gemini,923.398,False,,,,,,
c078bd3d-5c06-477b-89dc-f5621bb0ff39,2026-07-12 12:21:41.081499,1172.938,8,generation_gemini,1164.558,False,,,,,,
551b734e-ad20-4226-a5c5-2125f5fb59bb,2026-07-12 12:21:43.757113,1070.482,8,generation_gemini,1060.422,False,,,,,,
b7ea7fde-43d6-466f-a00a-7b6939adbfce,2026-07-12 12:21:46.330483,1258.236,8,generation_gemini,1251.074,False,,,,,,
04c66f22-eb12-40d8-b6b8-cb70a7b2b99a,2026-07-12 12:21:49.090797,1178.596,8,generation_gemini,1170.577,False,,,,,,
f043ebee-27be-414e-85b0-1470ca357be5,2026-07-12 12:21:51.771553,1618.267,8,generation_gemini,1610.442,False,,,,,,
9bcb0539-4621-4e54-a083-4fb392afe15b,2026-07-12 12:21:54.892138,1156.89,8,generation_gemini,1147.148,False,,,,,,
8ba11386-1547-4204-99a1-f55aa6dd6333,2026-07-12 12:21:57.552634,1406.201,8,generation_gemini,1396.015,False,,,,,,
1698febf-77b8-4852-9b08-0d6d2e67ee42,2026-07-12 12:22:00.461439,1127.577,8,generation_gemini,1119.365,False,,,,,,
63d7d452-6cd0-49bd-a945-b77957ba1698,2026-07-12 12:22:03.091439,1551.463,8,generation_gemini,1546.205,False,,,,,,
0f899e30-b2d8-458e-a821-d67b394cd6d3,2026-07-12 12:22:06.145641,981.237,8,generation_gemini,975.525,False,,,,,,
101d8ffd-2b9e-406a-a7ff-92d6bf4bf0b3,2026-07-12 12:22:08.629311,1194.805,8,generation_gemini,1187.032,False,,,,,,
d51bf6ba-d6e8-415e-875e-5248552aff75,2026-07-12 12:22:11.327042,1508.693,8,generation_gemini,1501.582,False,,,,,,
d7aec04a-94f4-4f7b-833d-c43f0b26e31c,2026-07-12 12:22:14.338014,1213.172,8,generation_gemini,1206.966,False,,,,,,
8c9e2538-958a-4875-b2c1-3839c4700166,2026-07-12 12:22:17.053369,1382.352,8,generation_gemini,1377.169,False,,,,,,
6c99a731-b45f-452f-88b9-c83fc66faeed,2026-07-12 12:22:19.938016,1153.543,8,generation_gemini,1146.529,False,,,,,,
4169a13a-c57c-4aa5-b001-a53bcb5a76dc,2026-07-12 12:22:22.594147,1070.074,8,generation_gemini,1064.138,False,,,,,,
dc9c5aee-1c97-4295-be99-60fd6e2a51dd,2026-07-12 12:22:25.166596,823.018,8,generation_gemini,819.262,False,,,,,,
58a93ffc-fb32-4cc8-96e2-9afa68419630,2026-07-12 12:22:27.491184,888.54,8,generation_gemini,885.53,False,,,,,,
0dc286cd-1aa4-42f8-85a0-a59acf16cb16,2026-07-12 12:22:29.881382,1130.854,8,generation_gemini,1124.734,False,,,,,,
f2e00252-9071-4662-b7ce-cee404094160,2026-07-12 12:22:32.514424,980.164,8,generation_gemini,971.72,False,,,,,,
7f965274-ed6e-4bc7-b1a2-dc70292a3f41,2026-07-12 12:22:34.996951,818.464,8,generation_gemini,812.031,False,,,,,,
ce8dbfd9-3f7d-4987-8761-53dbddd5a7df,2026-07-12 12:22:37.317461,817.608,8,generation_gemini,810.932,False,,,,,,
92387b77-7a82-4f05-830b-6d77d914a4b6,2026-07-12 12:22:39.637074,1308.062,8,generation_gemini,1304.961,False,,,,,,
843159fb-81f6-41a5-a591-9f51613eec91,2026-07-12 12:22:42.447516,1053.299,8,generation_gemini,1047.567,False,,,,,,
314f32ce-4be9-4406-92e1-4705e44f664c,2026-07-12 12:22:45.002429,1262.343,8,generation_gemini,1255.276,False,,,,,,
87de41a9-3757-4618-ac35-693c91f72487,2026-07-12 12:22:47.767235,960.624,8,generation_gemini,954.53,False,,,,,,
528f56d9-0c42-4390-99d4-ade3b64fd3a8,2026-07-12 12:22:50.229777,1158.265,8,generation_gemini,1150.34,False,,,,,,
c3ab8348-da8f-48c4-b9d9-fa0e85e8d0db,2026-07-12 12:22:52.891435,911.319,8,generation_gemini,905.814,False,,,,,,
f3fc7844-5972-425c-aac2-c75a1a037007,2026-07-12 12:22:55.304533,901.846,8,generation_gemini,896.356,False,,,,,,
ee26271a-9a97-4ee3-8a91-5194ff4bf818,2026-07-12 12:22:57.708856,1080.294,8,generation_gemini,1072.32,False,,,,,,
414b3cd9-98c9-48d9-b243-abf23eb64d08,2026-07-12 12:23:00.292605,1126.902,8,generation_gemini,1120.008,False,,,,,,
855f2995-5814-4066-ace6-b145a4c67d6c,2026-07-12 12:23:02.921491,1620.132,8,generation_gemini,1610.005,False,,,,,,
e8c59b4e-fc47-457e-9ba5-9ee82cded259,2026-07-12 12:23:06.044766,3245.944,8,generation_gemini,3237.986,False,,,,,,
4d254435-8449-4fca-b784-d97cf52ac478,2026-07-12 12:23:10.792743,1181.633,8,generation_gemini,1174.845,False,,,,,,
ad00ec4f-c93f-44b4-9e0d-a1adf58ca480,2026-07-12 12:23:13.477614,1375.251,8,generation_gemini,1369.188,False,,,,,,
d5c05954-7c37-49f7-9ad9-677953bcd855,2026-07-12 12:23:16.354869,1934.973,8,generation_gemini,1927.116,False,,,,,,
75cc69a8-c635-4db5-9448-e210bd032761,2026-07-12 12:23:19.792503,1139.287,8,generation_gemini,1129.442,False,,,,,,
cf27c496-2993-464a-99de-908f2c214126,2026-07-12 12:23:22.435590,841.587,8,generation_gemini,835.057,False,,,,,,
fd612f9b-ffcc-4715-a6b5-ed9084f521e0,2026-07-12 12:23:24.779996,1024.281,8,generation_gemini,1017.821,False,,,,,,
18ca5faa-0deb-4a31-a7b0-8abdc59fffba,2026-07-12 12:23:27.306488,829.815,8,generation_gemini,824.477,False,,,,,,
5f45d734-842d-4a84-bac9-44d213242b4c,2026-07-12 12:23:29.638336,967.817,8,generation_gemini,961.612,False,,,,,,
15b5af1b-c7a4-4d47-a4db-c1bc7dd0d6ec,2026-07-12 12:23:32.107752,831.335,8,generation_gemini,823.912,False,,,,,,
e25143c0-b04b-46c0-b15e-ffdc246d9788,2026-07-12 12:23:34.441415,1183.578,8,generation_gemini,1176.941,False,,,,,,
d3603f5e-8a51-4d44-8075-870fdf632527,2026-07-12 12:23:37.127775,853.885,8,generation_gemini,849.948,False,,,,,,
3357a0bf-47e9-4047-a464-67f9aeec7ea0,2026-07-12 12:23:39.483866,920.12,8,generation_gemini,913.92,False,,,,,,
ae0f3012-9683-452d-a10a-1ca1eb9182d3,2026-07-12 12:23:41.906097,907.519,8,generation_gemini,901.939,False,,,,,,
e7e9f99d-13d7-4824-a257-35f77e1641f5,2026-07-12 12:23:44.316481,1043.716,8,generation_gemini,1037.624,False,,,,,,
aa1bebb7-9351-43de-93cc-ba7190448524,2026-07-12 12:23:46.862314,890.667,8,generation_gemini,885.77,False,,,,,,
9cae1e84-5b5a-4740-b0d9-e10a6607c72d,2026-07-13 05:06:28.236748,3633.601,8,generation_gemini,3453.822,False,,0.2,0.0,0.0,1.0,0.3
2f793d50-08f7-4852-bb11-cf2c4534c565,2026-07-14 06:37:26.250843,4119.571,8,generation_gemini,4113.3,False,,0.226,0.0,0.0,1.0,0.3065
